dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,96,mean,drift,2024,diff_score,0.03291344156674079,0.5619164978383007,0.06930693069273136,0.6666666666666666,17.0
ETTh1,nlinear,96,mean,drift,2024,rolling_zscore,0.05300156856373699,0.7035060604161879,0.12298682284018764,0.0,
ETTh1,nlinear,96,mean,drift,2024,flatness,0.017357572943876454,0.31928402848848136,0.05122166617598777,0.0,
ETTh1,nlinear,96,mean,drift,3407,residual,0.0792482127975081,0.6362372498838383,0.181818181817705,1.0,35.0
ETTh1,nlinear,96,mean,drift,3407,raw_zscore,0.018254199880738897,0.39214858356627114,0.04865462587535605,1.0,15.5
ETTh1,nlinear,96,mean,drift,3407,diff_score,0.03381375095915642,0.6170576825211858,0.07099799062280308,0.5,24.0
ETTh1,nlinear,96,mean,drift,3407,rolling_zscore,0.056789199933668315,0.7277430727134607,0.13387423935063547,0.0,
ETTh1,nlinear,96,mean,drift,3407,flatness,0.01906297150214693,0.40134747431538426,0.048463356973947984,0.0,
ETTh1,nlinear,96,mean,noise_burst,42,residual,0.4064165139242779,0.8327047319713636,0.444444444443949,1.0,1.125
ETTh1,nlinear,96,mean,noise_burst,42,raw_zscore,0.2542474680504244,0.6411122751877074,0.31325301204791234,1.0,1.5
ETTh1,nlinear,96,mean,noise_burst,42,diff_score,0.7556987128665783,0.9532870612886327,0.7359999999995053,1.0,0.0
ETTh1,nlinear,96,mean,noise_burst,42,rolling_zscore,0.15898285346017454,0.7550331761829928,0.30769230769180833,1.0,0.5
ETTh1,nlinear,96,mean,noise_burst,42,flatness,0.010809558361460008,0.09408940108259123,0.0400929692039119,0.0,
ETTh1,nlinear,96,mean,noise_burst,2024,residual,0.553995785856327,0.8754228898549477,0.5669291338577729,1.0,0.625
ETTh1,nlinear,96,mean,noise_burst,2024,raw_zscore,0.30225786136921273,0.6936469676752894,0.3908045977008349,1.0,0.875
ETTh1,nlinear,96,mean,noise_burst,2024,diff_score,0.8434660101345249,0.9733783841948953,0.7968749999995043,1.0,0.0
ETTh1,nlinear,96,mean,noise_burst,2024,rolling_zscore,0.13304705404986691,0.7338096672836051,0.26086956521691496,1.0,0.25
ETTh1,nlinear,96,mean,noise_burst,2024,flatness,0.010908577832861798,0.09038867128653208,0.04061502756015748,0.0,
ETTh1,nlinear,96,mean,noise_burst,3407,residual,0.4950521746812578,0.8281212766295455,0.5343511450376807,0.875,0.7142857142857143
ETTh1,nlinear,96,mean,noise_burst,3407,raw_zscore,0.31833722579230084,0.6550629894991025,0.37894736842073257,0.875,0.42857142857142855
ETTh1,nlinear,96,mean,noise_burst,3407,diff_score,0.8359427591952913,0.9782515449505139,0.8111888111883132,1.0,0.125
ETTh1,nlinear,96,mean,noise_burst,3407,rolling_zscore,0.16171488657397137,0.7067930163470856,0.32835820895473294,1.0,0.625
ETTh1,nlinear,96,mean,noise_burst,3407,flatness,0.01206188777865221,0.10884156512621727,0.04403244495940073,0.0,
ETTh1,nlinear,96,mean,stuck_with_jitter,42,residual,0.028638575458347894,0.3773291925465838,0.11363636363587146,0.2,4.0
ETTh1,nlinear,96,mean,stuck_with_jitter,42,raw_zscore,0.05687463004627506,0.47313978292239167,0.2047244094483415,0.2,0.0
ETTh1,nlinear,96,mean,stuck_with_jitter,42,diff_score,0.01813831918198608,0.4225445448271535,0.048215403882232215,0.0,
