dataset,model,input_type,horizon,seed,aggregation_method,anomaly_type,anomaly_ratio,magnitude_scale,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,validation_score_mean,validation_score_std,test_score_mean,test_score_std
ETTh1,nlinear,multivariate,96,42,max,frozen,0.02,3.0,percentile,8.551311279999998,0,8,3304,77,0.0,0.0,0.0,0.0024154589371980675,0.9975845410628019,3389,77,8,3.4085993047963528,1.5353941015088213,4.042041543992269,1.8584714850108506
ETTh1,nlinear,multivariate,96,42,max,frozen,0.02,3.0,mean_std,8.01338134107203,0,11,3301,77,0.0,0.0,0.0,0.003321256038647343,0.9966787439613527,3389,77,11,3.4085993047963528,1.5353941015088213,4.042041543992269,1.8584714850108506
ETTh1,nlinear,multivariate,96,42,max,frozen,0.02,3.0,iqr,6.9715226999999995,0,21,3291,77,0.0,0.0,0.0,0.006340579710144928,0.9936594202898551,3389,77,21,3.4085993047963528,1.5353941015088213,4.042041543992269,1.8584714850108506
ETTh1,nlinear,multivariate,96,42,max,frozen,0.02,3.0,mad,7.8940224156599985,0,11,3301,77,0.0,0.0,0.0,0.003321256038647343,0.9966787439613527,3389,77,11,3.4085993047963528,1.5353941015088213,4.042041543992269,1.8584714850108506
ETTh2,nlinear,multivariate,24,42,first,spike,0.02,3.0,percentile,2.4745504259999995,67,64,3235,0,0.5114503816793893,1.0,0.6767676767676767,0.019399818126705062,0.9806001818732949,3366,67,131,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,spike,0.02,3.0,mean_std,2.416902501906649,67,76,3223,0,0.46853146853146854,1.0,0.6380952380952382,0.023037284025462262,0.9769627159745378,3366,67,143,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,spike,0.02,3.0,iqr,2.14776143,67,138,3161,0,0.32682926829268294,1.0,0.4926470588235294,0.041830857835707794,0.9581691421642922,3366,67,205,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,spike,0.02,3.0,mad,2.4964195943355,67,62,3237,0,0.5193798449612403,1.0,0.6836734693877551,0.018793573810245528,0.9812064261897545,3366,67,129,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,percentile,2.4745504259999995,77,66,3223,0,0.5384615384615384,1.0,0.7000000000000001,0.020066889632107024,0.979933110367893,3366,77,143,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,mean_std,2.416902501906649,77,78,3211,0,0.4967741935483871,1.0,0.6637931034482758,0.023715415019762844,0.9762845849802372,3366,77,155,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,iqr,2.14776143,77,139,3150,0,0.35648148148148145,1.0,0.5255972696245734,0.04226208574034661,0.9577379142596534,3366,77,216,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,level_shift,0.02,3.0,mad,2.4964195943355,77,64,3225,0,0.5460992907801419,1.0,0.7064220183486238,0.01945880206749772,0.9805411979325023,3366,77,141,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,frozen,0.02,3.0,percentile,2.4745504259999995,39,66,3223,38,0.37142857142857144,0.5064935064935064,0.42857142857142855,0.020066889632107024,0.979933110367893,3366,77,105,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,frozen,0.02,3.0,mean_std,2.416902501906649,39,78,3211,38,0.3333333333333333,0.5064935064935064,0.40206185567010305,0.023715415019762844,0.9762845849802372,3366,77,117,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,frozen,0.02,3.0,iqr,2.14776143,41,139,3150,36,0.22777777777777777,0.5324675324675324,0.31906614785992216,0.04226208574034661,0.9577379142596534,3366,77,180,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,first,frozen,0.02,3.0,mad,2.4964195943355,39,64,3225,38,0.3786407766990291,0.5064935064935064,0.43333333333333335,0.01945880206749772,0.9805411979325023,3366,77,103,0.727943422931381,0.5631599869130235,0.7621835943850267,0.6316667617211701
ETTh2,nlinear,multivariate,24,42,mean,spike,0.02,3.0,percentile,7.303702611999998,69,190,3130,0,0.26640926640926643,1.0,0.42073170731707316,0.0572289156626506,0.9427710843373494,3389,69,259,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,spike,0.02,3.0,mean_std,6.945084055705843,69,216,3104,0,0.24210526315789474,1.0,0.38983050847457623,0.06506024096385542,0.9349397590361446,3389,69,285,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,spike,0.02,3.0,iqr,6.1127008,69,314,3006,0,0.1801566579634465,1.0,0.3053097345132743,0.09457831325301205,0.905421686746988,3389,69,383,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,spike,0.02,3.0,mad,6.46164244967,69,270,3050,0,0.20353982300884957,1.0,0.3382352941176471,0.08132530120481928,0.9186746987951807,3389,69,339,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,percentile,7.303702611999998,77,192,3120,0,0.2862453531598513,1.0,0.44508670520231214,0.057971014492753624,0.9420289855072463,3389,77,269,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,mean_std,6.945084055705843,77,217,3095,0,0.2619047619047619,1.0,0.41509433962264153,0.06551932367149758,0.9344806763285024,3389,77,294,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,iqr,6.1127008,77,315,2997,0,0.19642857142857142,1.0,0.3283582089552239,0.09510869565217392,0.904891304347826,3389,77,392,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,mad,6.46164244967,77,270,3042,0,0.2219020172910663,1.0,0.3632075471698113,0.08152173913043478,0.9184782608695652,3389,77,347,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
ETTh2,nlinear,multivariate,24,42,mean,frozen,0.02,3.0,percentile,7.303702611999998,27,192,3120,50,0.1232876712328767,0.35064935064935066,0.18243243243243243,0.057971014492753624,0.9420289855072463,3389,77,219,2.370368598231003,1.5253688609263827,2.9128156648061925,2.2630612042517857
