dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,num_true_events,num_detected_events,event_recall,mean_detection_delay,median_detection_delay,max_detection_delay
ETTh1,nlinear,24,first,frozen,2024,hybrid_rankmax,percentile,1.0,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,frozen,2024,hybrid_or,percentile,,21,108,3191,46,0.16279069767441862,0.31343283582089554,0.21428571428571427,0.032737193088814794,0.9672628069111852,3366,67,129,4,4,1.0,11.5,12.0,12.0
ETTh1,nlinear,24,first,frozen,2024,residual,mean_std,1.6956210557618947,9,92,3207,58,0.0891089108910891,0.13432835820895522,0.10714285714285714,0.027887238557138528,0.9721127614428615,3366,67,101,4,4,1.0,12.75,12.5,16.0
ETTh1,nlinear,24,first,frozen,2024,flatness,mean_std,315997.1069870756,19,30,3269,48,0.3877551020408163,0.2835820895522388,0.3275862068965517,0.009093664746892998,0.990906335253107,3366,67,49,4,4,1.0,12.0,12.0,12.0
ETTh1,nlinear,24,first,frozen,2024,hybrid_rankmax,mean_std,1.371334843858064,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,frozen,2024,hybrid_or,mean_std,,22,120,3179,45,0.15492957746478872,0.3283582089552239,0.21052631578947367,0.036374658987571994,0.963625341012428,3366,67,142,4,4,1.0,11.25,11.5,12.0
ETTh1,nlinear,24,first,frozen,2024,residual,iqr,1.4185841175,19,154,3145,48,0.10982658959537572,0.2835820895522388,0.15833333333333333,0.046680812367384056,0.9533191876326159,3366,67,173,4,4,1.0,9.5,11.0,14.0
ETTh1,nlinear,24,first,frozen,2024,flatness,iqr,4.285812514580129,31,138,3161,36,0.1834319526627219,0.4626865671641791,0.2627118644067796,0.041830857835707794,0.9581691421642922,3366,67,169,4,4,1.0,9.0,9.0,11.0
ETTh1,nlinear,24,first,frozen,2024,hybrid_rankmax,iqr,1.404516029593095,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,frozen,2024,hybrid_or,iqr,,37,288,3011,30,0.11384615384615385,0.5522388059701493,0.18877551020408168,0.08729918157017277,0.9127008184298272,3366,67,325,4,4,1.0,6.5,7.5,9.0
ETTh1,nlinear,24,first,frozen,2024,residual,mad,1.5722129060285002,14,112,3187,53,0.1111111111111111,0.208955223880597,0.14507772020725387,0.033949681721733856,0.9660503182782662,3366,67,126,4,4,1.0,10.0,11.0,16.0
