dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh2,24,linear,frozen,42,2.861802816390991,3.9692864243239936,10.765467643737791,0.4800665501347042,0.5263157894732458,0.4088397790055249,0.3557692307692308,0.4805194805194805,0.8,4.5
ETTh2,24,linear,frozen,2024,2.861802816390991,3.9692864243239936,10.765467643737791,0.252751967246738,0.3124999999995784,0.21333333333333335,0.1927710843373494,0.23880597014925373,0.5,11.0
ETTh2,24,linear,frozen,3407,2.861802816390991,3.9692864243239936,10.765467643737791,0.6969390952992017,0.6774193548382472,0.5628140703517589,0.4666666666666667,0.7088607594936709,1.0,3.75
ETTh2,24,nlinear,spike,42,2.9183664321899414,4.0371148082178,10.97824764251709,1.0000000000000002,0.9999999999995,0.6767676767676767,0.5114503816793893,1.0,1.0,0.0
ETTh2,24,nlinear,spike,2024,2.9183664321899414,4.0371148082178,10.97824764251709,1.0000000000000002,0.9999999999995,0.67,0.5037593984962406,1.0,1.0,0.0
ETTh2,24,nlinear,spike,3407,2.9183664321899414,4.0371148082178,10.97824764251709,0.9999999999999998,0.9999999999995,0.6732673267326732,0.5074626865671642,1.0,1.0,0.0
ETTh2,24,nlinear,level_shift,42,2.9183664321899414,4.0371148082178,10.97824764251709,1.0,0.9999999999995,0.7000000000000001,0.5384615384615384,1.0,1.0,0.0
ETTh2,24,nlinear,level_shift,2024,2.9183664321899414,4.0371148082178,10.97824764251709,1.0000000000000002,0.9999999999995,0.6666666666666666,0.5,1.0,1.0,0.0
ETTh2,24,nlinear,level_shift,3407,2.9183664321899414,4.0371148082178,10.97824764251709,0.9999999999999999,0.9999999999995,0.7085201793721974,0.5486111111111112,1.0,1.0,0.0
ETTh2,24,nlinear,frozen,42,2.9183664321899414,4.0371148082178,10.97824764251709,0.5160183321901853,0.564102564102114,0.42857142857142855,0.37142857142857144,0.5064935064935064,0.8,4.25
ETTh2,24,nlinear,frozen,2024,2.9183664321899414,4.0371148082178,10.97824764251709,0.2648431646876266,0.31914893616980333,0.2483660130718954,0.22093023255813954,0.2835820895522388,1.0,9.25
ETTh2,24,nlinear,frozen,3407,2.9183664321899414,4.0371148082178,10.97824764251709,0.6853374891026467,0.7175572519079181,0.5380710659898477,0.4491525423728814,0.6708860759493671,1.0,4.5
ETTh2,24,dlinear,spike,42,2.825991630554199,3.910385384262604,10.63075351715088,1.0,0.9999999999995,0.5903083700440529,0.41875,1.0,1.0,0.0
ETTh2,24,dlinear,spike,2024,2.825991630554199,3.910385384262604,10.63075351715088,1.0,0.9999999999995,0.5826086956521739,0.4110429447852761,1.0,1.0,0.0
ETTh2,24,dlinear,spike,3407,2.825991630554199,3.910385384262604,10.63075351715088,1.0,0.9999999999995,0.5938864628820961,0.422360248447205,1.0,1.0,0.0
